Date		Price	Open	High	Low	Vol.	Change%	
6-Jan-17	825.21	814.99	828.96	811.5	2.02M	1.50%	
9-Jan-17	827.18	826.37	830.43	821.62	1.41M	0.24%	
10-Jan-17	826.01	827.07	829.41	823.14	1.20M	-0.14%	
11-Jan-17	829.86	826.62	829.9	821.47	1.33M	0.47%	
12-Jan-17	829.53	828.38	830.38	821.01	1.35M	-0.04%	
13-Jan-17	830.94	831	834.65	829.52	1.29M	0.17%	
17-Jan-17	827.46	830	830.18	823.2	1.44M	-0.42%	
18-Jan-17	829.02	829.8	829.81	824.08	1.03M	0.19%	
19-Jan-17	824.37	829	833	823.96	1.07M	-0.56%	
20-Jan-17	828.17	829.09	829.24	824.6	1.31M	0.46%	
23-Jan-17	844.43	831.61	845.54	828.7	2.46M	1.96%	
24-Jan-17	849.53	846.98	851.52	842.28	1.69M	0.60%	
25-Jan-17	858.45	853.55	858.79	849.74	1.66M	1.05%	
26-Jan-17	856.98	859.05	861	850.52	3.49M	-0.17%	
27-Jan-17	845.03	859	867	841.9	3.75M	-1.39%	
30-Jan-17	823.83	837.06	837.23	821.03	3.52M	-2.51%	
31-Jan-17	820.19	819.5	823.07	813.4	2.02M	-0.44%	
1-Feb-17	815.24	824	824	812.25	2.25M	-0.60%	
2-Feb-17	818.26	815	824.56	812.05	1.69M	0.37%	
3-Feb-17	820.13	823.13	826.13	819.35	1.53M	0.23%	
6-Feb-17	821.62	820.92	822.39	814.29	1.35M	0.18%	
7-Feb-17	829.23	825.5	831.92	823.29	1.67M	0.93%	
8-Feb-17	829.88	830.53	834.25	825.11	1.30M	0.08%	
9-Feb-17	830.06	831.73	831.98	826.5	1.19M	0.02%	
10-Feb-17	834.85	832.95	837.15	830.51	1.42M	0.58%	
13-Feb-17	838.96	837.7	841.74	836.25	1.30M	0.49%	
14-Feb-17	840.03	839.77	842	835.83	1.36M	0.13%	
15-Feb-17	837.32	838.81	841.77	836.22	1.36M	-0.32%	
16-Feb-17	842.17	838.5	842.69	837.26	1.01M	0.58%	
17-Feb-17	846.55	841.31	846.94	839.78	1.46M	0.52%	
21-Feb-17	849.27	847.99	852.2	846.55	1.26M	0.32%	
22-Feb-17	851.36	848	853.79	846.71	1.22M	0.25%	
23-Feb-17	851	851.08	852.62	842.5	1.39M	-0.04%	
24-Feb-17	847.81	847.65	848.36	842.96	1.35M	-0.37%	
27-Feb-17	849.67	844.95	850.67	843.01	1.01M	0.22%	
28-Feb-17	844.93	847.35	848.83	841.44	1.38M	-0.56%	
1-Mar-17	856.75	851.38	858	849.02	1.82M	1.40%	
2-Mar-17	849.85	856.31	856.49	848.72	1.25M	-0.81%	
3-Mar-17	849.08	848.94	850.82	844.71	1.01M	-0.09%	
6-Mar-17	847.27	846.86	848.94	841.17	1.05M	-0.21%	
7-Mar-17	851.15	847.26	853.33	845.52	1.04M	0.46%	
8-Mar-17	853.64	853.12	856.93	851.25	1.03M	0.29%	
9-Mar-17	857.84	853.69	860.71	852.67	1.35M	0.49%	
10-Mar-17	861.4	862.7	864.23	857.61	1.34M	0.41%	
13-Mar-17	864.58	860.83	867.13	860.82	1.17M	0.37%	
14-Mar-17	865.91	863.75	867.58	860.13	1.06M	0.15%	
15-Mar-17	868.39	867.94	869.88	861.29	1.33M	0.29%	
16-Mar-17	870	870.53	872.71	867.52	1.10M	0.19%	
17-Mar-17	872.37	873.68	874.42	868.37	1.87M	0.27%	
20-Mar-17	867.91	869.48	870.34	864.66	1.54M	-0.51%	
21-Mar-17	850.14	870.06	873.47	847.69	2.54M	-2.05%	
22-Mar-17	849.8	849.48	855.35	847	1.37M	-0.04%	
23-Mar-17	839.65	841.39	841.69	833	3.29M	-1.19%	
24-Mar-17	835.14	842	844	829.1	2.11M	-0.54%	
27-Mar-17	838.51	828.09	841.38	824.3	1.94M	0.40%	
28-Mar-17	840.63	839.69	845.4	832.26	1.52M	0.25%	
29-Mar-17	849.87	842.75	851.59	841.38	1.46M	1.10%	
30-Mar-17	849.48	851.98	852	846.77	949.40K	-0.05%	
31-Mar-17	847.8	846.83	849.56	845.24	1.44M	-0.20%	
3-Apr-17	856.75	848.75	859	847.53	1.97M	1.06%	
4-Apr-17	852.57	848	853	847.5	1.35M	-0.49%	
5-Apr-17	848.91	854.71	860.59	847.52	1.86M	-0.43%	
6-Apr-17	845.1	849.5	853.59	844	1.53M	-0.45%	
