Date	        Price	Open	High	Low	Vol.	Change%
5-Mar-17	"1,278.40"	"1,267.80"	"1,279.80"	"1,245.30"	9.32K	0.84%	
6-Mar-17	"1,279.30"	"1,278.40"	"1,287.80"	"1,268.60"	9.60K	0.07%	
7-Mar-17	"1,232.40"	"1,279.20"	"1,281.80"	"1,185.90"	42.01K	-3.67%	
8-Mar-17	"1,149.30"	"1,232.40"	"1,243.60"	"1,142.20"	46.82K	-6.74%	
9-Mar-17	"1,190.40"	"1,150.00"	"1,207.50"	"1,136.00"	24.15K	3.58%	
10-Mar-17	"1,113.60"	"1,190.40"	"1,328.80"	971	104.89K	-6.45%	
11-Mar-17	"1,172.80"	"1,113.50"	"1,196.10"	"1,107.00"	31.26K	5.32%	
12-Mar-17	"1,225.20"	"1,172.40"	"1,232.60"	"1,167.50"	18.97K	4.47%	
13-Mar-17	"1,238.50"	"1,224.40"	"1,246.90"	"1,207.50"	23.07K	1.09%	
14-Mar-17	"1,245.00"	"1,238.50"	"1,257.90"	"1,218.90"	17.97K	0.52%	
15-Mar-17	"1,256.10"	"1,245.00"	"1,262.00"	"1,241.30"	15.84K	0.89%	
16-Mar-17	"1,169.00"	"1,256.10"	"1,259.70"	"1,132.50"	51.49K	-6.93%	
17-Mar-17	"1,068.40"	"1,169.10"	"1,169.60"	"1,066.00"	59.21K	-8.61%	
18-Mar-17	971	"1,067.80"	"1,097.10"	935.11	87.88K	-9.12%	
19-Mar-17	"1,016.10"	971.9	"1,058.90"	971	40.55K	4.64%	
20-Mar-17	"1,039.00"	"1,016.50"	"1,052.10"	"1,011.20"	20.53K	2.25%	
21-Mar-17	"1,115.00"	"1,040.40"	"1,120.90"	"1,040.10"	33.42K	7.31%	
22-Mar-17	"1,039.10"	"1,115.90"	"1,116.00"	986.3	41.33K	-6.81%	
23-Mar-17	"1,033.00"	"1,039.40"	"1,055.00"	"1,018.00"	19.33K	-0.59%	
24-Mar-17	943.1	"1,032.70"	"1,034.20"	928.3	43.52K	-8.70%	
25-Mar-17	972.17	942.13	980	891	46.01K	3.08%	
26-Mar-17	969	971.31	"1,005.50"	950.1	33.26K	-0.33%	
27-Mar-17	"1,042.70"	968.9	"1,046.90"	960.1	31.91K	7.61%	
28-Mar-17	"1,044.70"	"1,042.80"	"1,066.50"	"1,016.80"	25.25K	0.19%	
29-Mar-17	"1,041.80"	"1,044.70"	"1,058.90"	"1,009.30"	22.32K	-0.28%	
30-Mar-17	"1,041.00"	"1,041.70"	"1,053.50"	"1,022.20"	24.81K	-0.08%	
31-Mar-17	"1,081.70"	"1,042.10"	"1,089.40"	"1,041.00"	27.50K	3.91%	
1-Apr-17	"1,093.20"	"1,081.30"	"1,106.90"	"1,070.20"	17.00K	1.06%	
2-Apr-17	"1,107.60"	"1,093.50"	"1,118.20"	"1,081.00"	20.42K	1.32%	
3-Apr-17	"1,150.20"	"1,107.80"	"1,159.90"	"1,107.80"	30.42K	3.85%	
4-Apr-17	"1,145.00"	"1,150.10"	"1,161.90"	"1,124.10"	21.16K	-0.45%	
5-Apr-17	"1,140.60"	"1,145.80"	"1,146.70"	"1,112.30"	22.55K	-0.38%	
6-Apr-17	"1,191.50"	"1,140.30"	"1,206.40"	"1,140.30"	32.17K	4.46%	
